City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,barrow,99,AR,1563163394,85,-38.31,-60.23,45.09,9.6
1,pangkalanbuun,74,ID,1563163341,61,-2.68,111.62,83.25,4.88
2,kavieng,98,PG,1563163400,79,-2.57,150.8,82.17,8.86
3,kaeo,5,NZ,1563163450,71,-35.1,173.78,62.01,14.0
4,ushuaia,40,AR,1563163401,86,-54.81,-68.31,37.4,3.36
5,bethel,90,US,1563163229,82,60.79,-161.76,66.2,5.82
6,pisco,40,PE,1563163274,77,-13.71,-76.2,59.0,1.12
7,muncar,57,ID,1563163498,82,-8.43,114.34,74.61,6.51
8,mahebourg,75,MU,1563163431,88,-20.41,57.7,68.0,12.75
9,jamestown,90,AU,1563163369,77,-33.21,138.6,52.29,7.09
10,talnakh,40,RU,1563163498,87,69.49,88.39,59.0,15.66
11,paamiut,0,GL,1563163261,89,61.99,-49.67,42.21,2.93
12,tuktoyaktuk,75,CA,1563163399,67,69.44,-133.03,60.8,4.7
13,hibbing,75,US,1563163498,88,47.43,-92.94,75.2,8.05
14,newport,41,GB,1563163437,93,51.59,-3.0,59.0,8.05
15,upernavik,0,GL,1563163395,66,72.79,-56.15,44.37,10.04
16,raudeberg,75,NO,1563163498,81,61.99,5.14,51.8,20.8
17,rawson,0,AR,1563163499,72,-43.3,-65.11,43.29,10.63
18,yellowknife,20,CA,1563163414,45,62.45,-114.38,66.2,6.93
19,meulaboh,97,ID,1563163440,66,4.14,96.13,81.09,3.56
20,butaritari,99,KI,1563163398,70,3.07,172.79,84.69,8.99
21,koumac,100,NC,1563163499,81,-20.56,164.28,71.73,15.82
22,provideniya,0,RU,1563163230,71,64.42,-173.23,55.4,15.66
23,hilo,90,US,1563163375,58,19.71,-155.08,82.4,9.17
24,burnie,100,AU,1563163499,79,-41.05,145.91,52.0,4.0
25,hermanus,0,ZA,1563163406,88,-34.42,19.24,50.0,1.01
26,carnarvon,0,ZA,1563163369,27,-30.97,22.13,49.77,6.78
27,port alfred,0,ZA,1563163394,89,-33.59,26.89,59.0,1.01
28,vaini,75,IN,1563163376,88,15.34,74.49,73.4,6.93
29,cape town,20,ZA,1563163142,87,-33.93,18.42,51.01,9.17
30,busselton,0,AU,1563163216,41,-33.64,115.35,66.0,20.42
31,daru,100,PG,1563163452,83,-9.07,143.21,76.05,11.32
32,zirl,75,AT,1563163500,87,47.27,11.24,55.0,4.7
33,esperance,0,AU,1563163317,76,-33.86,121.89,55.4,12.75
34,hofn,100,IS,1563163417,91,64.25,-15.21,44.37,5.03
35,rikitea,64,PF,1563163214,86,-23.12,-134.97,74.61,13.65
36,mataura,53,NZ,1563163335,77,-46.19,168.86,46.0,3.0
37,tasiilaq,100,GL,1563163388,57,65.61,-37.64,48.2,9.17
38,makungu,14,TZ,1563163500,84,-8.74,35.29,49.41,7.2
39,mar del plata,41,AR,1563163397,76,-46.43,-67.52,38.97,12.82
40,san patricio,100,PY,1563163398,95,-26.98,-56.83,60.21,5.23
41,tupik,100,RU,1563163500,92,54.43,119.94,59.49,4.65
42,geraldton,90,CA,1563163440,88,49.72,-86.95,64.4,10.29
43,zemio,100,CF,1563163501,97,5.02,25.13,66.69,1.7
44,ponta do sol,0,BR,1563163375,65,-20.63,-46.0,60.93,1.79
45,buala,94,SB,1563163501,75,-8.15,159.59,81.09,3.09
46,manbij,0,SY,1563163501,37,36.53,37.96,68.0,4.7
47,torbay,90,CA,1563163189,100,47.66,-52.73,51.01,14.99
48,chokurdakh,100,RU,1563163399,66,70.62,147.9,42.57,13.98
49,evensk,91,RU,1563163453,83,61.92,159.24,55.89,6.69
50,salalah,90,OM,1563163252,100,17.01,54.1,77.0,4.7
51,hervey bay,88,AU,1563163501,19,-25.3,152.85,68.0,14.99
52,oksfjord,100,NO,1563163502,75,70.24,22.35,46.99,6.93
53,kapaa,40,US,1563163381,70,22.08,-159.32,86.0,14.99
54,inhambane,0,MZ,1563163399,92,-23.87,35.38,58.41,1.54
55,mahanoro,45,MG,1563163300,81,-19.9,48.8,58.05,2.26
56,dingle,87,PH,1563163502,81,11.0,122.67,82.17,6.31
57,slave lake,1,CA,1563163502,72,55.28,-114.77,64.4,9.17
58,simao,100,CN,1563163502,95,22.76,100.79,70.65,2.39
59,alofi,15,NU,1563163405,69,-19.06,-169.92,78.8,12.75
60,buraydah,0,SA,1563163474,26,26.33,43.97,78.8,4.7
61,ahipara,66,NZ,1563163378,98,-35.17,173.16,62.01,22.93
62,pangnirtung,44,CA,1563163263,54,66.15,-65.72,49.41,2.42
63,bluff,100,AU,1563163401,34,-23.58,149.07,63.09,3.38
64,mount gambier,90,AU,1563163461,87,-37.83,140.78,55.4,14.99
65,hamilton,40,CA,1563163452,68,43.26,-79.87,71.6,5.82
66,albany,1,US,1563163375,93,42.65,-73.75,72.0,4.7
67,havoysund,100,NO,1563163424,75,71.0,24.66,46.4,6.93
68,new norfolk,75,AU,1563163396,58,-42.78,147.06,55.99,18.34
69,hovd,75,NO,1563163453,93,63.83,10.7,51.01,14.99
70,avarua,83,CK,1563163405,64,-21.21,-159.78,73.4,9.17
71,atuona,0,PF,1563163401,75,-9.8,-139.03,80.73,15.68
72,port elizabeth,1,US,1563163372,83,39.31,-74.98,80.6,5.73
73,lagoa,0,PT,1563163233,82,37.14,-8.45,66.99,3.36
74,xuddur,16,SO,1563163504,83,4.12,43.89,69.93,13.85
